estimator,"a,a","a,t0","a,beta_v","a,z","t0,a","t0,t0","t0,beta_v","t0,z","beta_v,a","beta_v,t0","beta_v,beta_v","beta_v,z","z,a","z,t0","z,beta_v","z,z"
misspecification-robust,0.012825798076427015,-0.5762053852754419,0.2619162644806074,0.04508087206036716,-0.5762053852754424,0.0028051898585612464,-0.275216192291292,0.5180777262642002,0.26191626448060695,-0.2752161922912919,0.036763016577376934,-0.5125472463785572,0.045080872060366796,0.5180777262642008,-0.5125472463785572,0.02647556474309513
autocorrelation-robust,0.012908079662509907,-0.5698686573156337,0.2716648675753888,0.07528481548664624,-0.5698686573156345,0.002700872782145317,-0.3038727781668347,0.49660747815872636,0.2716648675753884,-0.30387277816683433,0.03554527371895841,-0.5015995223324782,0.07528481548664583,0.49660747815872697,-0.5015995223324784,0.025404332366953573
sample-hessian,0.01289430100108052,-0.562924135468143,0.30609122516085796,-0.04260403503344637,-0.562924135468143,0.003112466239862538,-0.3256677005061767,0.5792415405873249,0.3060912251608579,-0.3256677005061767,0.039935424325469586,-0.5793435623949361,-0.04260403503344632,0.5792415405873248,-0.5793435623949362,0.028067576765221616
outer-product,0.013350824886318865,-0.545622169005622,0.281517590191653,-0.04987644215075872,-0.5456221690056219,0.003747688724448535,-0.34426667417173995,0.6481464142977531,0.281517590191653,-0.34426667417174006,0.04162718471124396,-0.590768474098374,-0.04987644215075855,0.6481464142977531,-0.5907684740983739,0.03165774801376315
misspecification-robust,0.01251331088875925,-0.5919178913675568,0.33531313727150275,-0.052523948620324286,-0.5919178913675566,0.002607558282819235,-0.31940206863979587,0.5113358815011693,0.3353131372715023,-0.3194020686397956,0.03849256093518548,-0.5723641598598793,-0.052523948620323765,0.5113358815011686,-0.5723641598598794,0.02531366359357424
autocorrelation-robust,0.012168627839041655,-0.5892370180126227,0.3331591306514012,-0.06515543707302998,-0.5892370180126231,0.002715251561762445,-0.24777495487904344,0.4578245093067104,0.33315913065140107,-0.2477749548790436,0.03991605497633623,-0.5765301520475452,-0.06515543707302998,0.45782450930671026,-0.5765301520475455,0.024154654750672726
sample-hessian,0.012783130389436076,-0.5624925865950217,0.29156423317044355,0.012211032962833629,-0.5624925865950209,0.002926485638926839,-0.27444767261236397,0.501700561201328,0.29156423317044333,-0.27444767261236397,0.03807952924732466,-0.5477205147728516,0.012211032962834252,0.5017005612013277,-0.5477205147728514,0.02616326601684438
outer-product,0.013052419204903664,-0.5768355401366945,0.3095740385521203,0.04680499278914821,-0.5768355401366942,0.0027206132076325546,-0.21430200945864444,0.3979904986975609,0.3095740385521201,-0.21430200945864444,0.039158539024819757,-0.5230917980087133,0.046804992789148556,0.3979904986975607,-0.5230917980087132,0.024525172359443768
misspecification-robust,0.01254440099827679,-0.5512857069765584,0.2776258336368844,-0.026895070646892574,-0.551285706976557,0.003169202655151583,-0.34044636802009653,0.5936423858066887,0.27762583363688403,-0.34044636802009665,0.03731191914274447,-0.5790761810288019,-0.026895070646891357,0.5936423858066883,-0.5790761810288018,0.02814302558993691
autocorrelation-robust,0.012826781981282233,-0.6003009003879524,0.3334305096068417,-0.07376304328021785,-0.6003009003879511,0.0031256384908959008,-0.4201211375328649,0.5797427294067988,0.3334305096068411,-0.4201211375328648,0.03553239520852311,-0.6099916932596782,-0.07376304328021666,0.5797427294067984,-0.6099916932596781,0.026931416812771537
